City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
557,Mayumba,GA,77.5,light rain,-3.432,10.6554,LIKWALE LODGE
559,Iracoubo,GF,82.94,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
560,Manaure,CO,84.2,overcast clouds,11.7751,-72.4445,Hotel Palaaima
561,Mitzic,GA,70.88,moderate rain,0.7821,11.549,Motel Emys
562,Segou,ML,86.59,scattered clouds,13.4317,-6.2157,Comme chez soi
564,Ibra,OM,76.33,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
565,Bella Union,UY,91.35,scattered clouds,-30.2752,-57.6007,Saville Free Shop
567,Saint-Paul,RE,71.69,broken clouds,-21.0096,55.2707,Boucan Canot
568,Bocas Del Toro,PA,80.08,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
569,Niquero,CU,84.36,overcast clouds,20.0431,-77.5828,Islazul Niquero
570,Mazagao,BR,89.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
571,La Macarena,CO,80.91,broken clouds,2.1837,-73.7849,Hotel Punto Verde
572,Somotillo,NI,93.34,scattered clouds,13.0433,-86.9064,Las Lomas Somotillo
573,Jaru,BR,81.16,heavy intensity rain,-10.4389,-62.4664,Hotel Paraná
575,Odweyne,SO,71.87,clear sky,9.4092,45.064,Eng Hiirey House
578,Liwale,TZ,71.85,clear sky,-9.7667,37.9333,Samoma lodge
582,Mahanoro,MG,70.97,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
584,Binga,ZW,78.6,few clouds,-17.6203,27.3414,Lakeview Inn Binga
586,Mangrol,IN,76.41,broken clouds,21.1167,70.1167,Hotel The Royal Honours
587,Bumba,CD,71.38,overcast clouds,2.1833,22.4667,Père Carlos
588,Gummidipundi,IN,80.6,overcast clouds,13.4,80.15,Le Raj Courtyard
595,Japura,ID,74.17,few clouds,-0.3167,102.35,Rumah mbah Jamah
598,Tahta,EG,80.71,overcast clouds,26.7693,31.5021,مصطفي عساف
599,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
603,Flic En Flac,MU,72.16,few clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
604,Arlit,NE,86.77,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
606,Calvia,ES,70.27,overcast clouds,39.5657,2.5062,Castell Son Claret
607,Bardiyah,LY,71.6,clear sky,31.7561,25.0865,بورتو بردية
609,San Rafael,AR,75.27,clear sky,-34.6177,-68.3301,Hotel San Rafael
614,Manga,BF,87.93,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
616,Simoes,BR,92.26,clear sky,-7.5989,-40.8178,Hotel Ponto Certo
619,Harper,LR,78.12,overcast clouds,4.375,-7.7169,Screensaver
624,Vangaindrano,MG,70.3,overcast clouds,-23.35,47.6,Hotel Fanilo
625,Buchanan,LR,78.76,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
628,Prado,BR,77.38,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
629,Altea,ES,76.68,light rain,38.5989,-0.0514,Albir Playa Hotel & Spa
633,Esna,EG,84.22,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
634,Chinhoyi,ZW,78.28,scattered clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
635,Ouesso,CG,74.71,broken clouds,1.6136,16.0517,ABENIE Hotel
636,Iranshahr,IR,73.74,clear sky,27.2025,60.6848,نیک سرشت
638,Varzea Da Palma,BR,87.51,broken clouds,-17.5981,-44.7308,Casa Fernandes
641,Asyut,EG,80.78,overcast clouds,27.181,31.1837,Florence Hotel Assiut
642,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
644,Ibanda,TZ,71.04,light rain,-2.7974,32.4746,Lahe Hotel Mwanza
645,Santa Rita,BR,83.07,few clouds,-7.1139,-34.9781,Infinity Motel
649,Usagara,TZ,70.02,light rain,-2.6833,33.0,Mishamo
651,Ilorin,NG,82.76,clear sky,8.5,4.55,Ayala Suite Annex
652,Panaba,MX,83.05,clear sky,21.2833,-88.2667,Hotel California
655,Barmer,IN,76.84,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
661,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
663,Garowe,SO,73.31,clear sky,8.4054,48.4845,Curubo Hotel
665,Mangla,PK,72.12,clear sky,31.8931,72.3817,Rana Tariq Aziz House
668,Tanhacu,BR,85.35,scattered clouds,-14.0214,-41.2481,Hotel Aguas D Lindoia
671,Delta Del Tigre,UY,86.41,few clouds,-34.7633,-56.3853,FINCA SUAREZ
680,Padampur,IN,73.45,clear sky,29.6833,73.6167,Platinum resort
682,Montepuez,MZ,75.31,broken clouds,-13.1256,38.9997,PembaAparthotel
683,High Rock,BS,80.62,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
684,Sao Felix Do Xingu,BR,91.42,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
687,Islamkot,PK,78.15,broken clouds,24.6997,70.177,Haji Hotel
693,Cururupu,BR,81.77,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
695,Ribeira Brava,PT,73.71,scattered clouds,32.65,-17.0667,Hotel do Campo
696,Kikwit,CD,72.79,light rain,-5.041,18.8162,HOTEL PLACE YALABA
699,Bushehr,IR,80.69,clear sky,28.9684,50.8385,Yas Hotel
702,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
703,Bonthe,SL,75.87,light rain,7.5264,-12.505,Bonthe Holiday Village
709,Anaco,VE,80.02,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
710,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
714,Unai,BR,88.56,overcast clouds,-16.3575,-46.9061,Hotel Regente
717,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
719,Maldonado,UY,83.59,scattered clouds,-34.6667,-54.9167,La Cimarrona
720,Alexandria,EG,73.94,scattered clouds,31.2156,29.9553,Royal Crown Hotel
721,Kongolo,CD,71.64,scattered clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
